snapshot,balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
0,all,All,all,1,1,5000000000,0,0,0,0.00
0,all,All,never_spent,1,1,5000000000,0,0,0,0.00
0,all,P2PK,all,1,1,5000000000,0,0,0,0.00
0,all,P2PK,never_spent,1,1,5000000000,0,0,0,0.00
0,ge1,All,all,1,1,5000000000,0,0,0,0.00
0,ge1,All,never_spent,1,1,5000000000,0,0,0,0.00
0,ge1,P2PK,all,1,1,5000000000,0,0,0,0.00
0,ge1,P2PK,never_spent,1,1,5000000000,0,0,0,0.00
0,ge10,All,all,1,1,5000000000,0,0,0,0.00
0,ge10,All,never_spent,1,1,5000000000,0,0,0,0.00
0,ge10,P2PK,all,1,1,5000000000,0,0,0,0.00
0,ge10,P2PK,never_spent,1,1,5000000000,0,0,0,0.00
50000,all,All,active,43,90,5695485000000,43,90,5695485000000,0.02
50000,all,All,all,41279,41532,250005000000000,41179,41227,215325722000000,4.64
50000,all,All,inactive,8,8,18190000000,8,8,18190000000,0.00
50000,all,All,never_spent,41228,41434,244291325000000,41128,41129,209612047000000,4.62
50000,all,P2PK,active,17,17,57425000000,17,17,57425000000,0.00
50000,all,P2PK,all,41153,41154,209692661000000,41152,41153,209687661000000,4.57
50000,all,P2PK,inactive,7,7,18189000000,7,7,18189000000,0.00
50000,all,P2PK,never_spent,41129,41130,209617047000000,41128,41129,209612047000000,4.57
50000,all,P2PKH,active,26,73,5638060000000,26,73,5638060000000,0.01
50000,all,P2PKH,all,126,378,40312339000000,27,74,5638061000000,0.07
50000,all,P2PKH,inactive,1,1,1000000,1,1,1000000,0.00
50000,all,P2PKH,never_spent,99,304,34674278000000,0,0,0,0.06
50000,ge1,All,active,42,89,5695482000000,42,89,5695482000000,0.02
50000,ge1,All,all,41254,41507,250004538000000,41161,41209,215325559000000,4.64
50000,ge1,All,inactive,7,7,18189000000,7,7,18189000000,0.00
50000,ge1,All,never_spent,41205,41411,244290867000000,41112,41113,209611888000000,4.62
50000,ge1,P2PK,active,17,17,57425000000,17,17,57425000000,0.00
50000,ge1,P2PK,all,41137,41138,209692502000000,41136,41137,209687502000000,4.57
50000,ge1,P2PK,inactive,7,7,18189000000,7,7,18189000000,0.00
50000,ge1,P2PK,never_spent,41113,41114,209616888000000,41112,41113,209611888000000,4.56
50000,ge1,P2PKH,active,25,72,5638057000000,25,72,5638057000000,0.01
