balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,2727859,42844138,338579508279725,2733632,42844138,338579508279725,6976.98
all,All,all,58819304,165445967,2002174802842432,16099521,102609211,690765249274487,20451.80
all,All,inactive,7924961,50705263,165662739535331,7928403,50705263,165662739535331,11441.72
all,All,never_spent,48166484,71896566,1497932555027376,5437486,9059810,186523001459431,2033.10
all,Other,active,294,515,2047500,294,515,2047500,0.21
all,Other,all,2462036,2685859,268831901940,2400982,2427151,6037406867,1032.84
all,Other,inactive,2206,4203,465735293,2207,4203,465735293,1.70
all,Other,never_spent,2459536,2681141,268364119147,2398481,2422433,5569624074,1030.93
all,P2PK,active,3,19,140000,3,19,140000,0.01
all,P2PK,all,37659,44630,171591953352394,37673,44629,171591953352394,17.82
all,P2PK,inactive,330,6939,23708222160,339,6939,23708222160,2.53
all,P2PK,never_spent,37326,37672,171568244990234,37331,37671,171568244990234,15.28
all,P2PKH,active,352923,3715479,39054810662287,353058,3715479,39054810662287,1438.21
all,P2PKH,all,21511965,45007686,464567724717619,4144976,17991291,118148148549433,7068.90
all,P2PKH,inactive,3718970,14098861,79028096657115,3719041,14098861,79028096657115,5559.78
all,P2PKH,never_spent,17440072,27193346,346484817398217,72877,176951,65241230031,70.91
all,P2SH,active,208900,1845582,67803756738866,212380,1845582,67803756738866,784.28
all,P2SH,all,6269918,12200989,395504338387075,1157099,5694889,126346571910594,2441.61
all,P2SH,inactive,942225,3849307,58542815171728,944719,3849307,58542815171728,1657.33
all,P2SH,never_spent,5118793,6506100,269157766476481,0,0,0,0.00
all,P2TR,active,738798,25364724,5285288365731,738798,25364724,5285288365731,3151.63
all,P2TR,all,4841702,54413463,20686802477105,4841702,54413463,20686802477105,6901.05
all,P2TR,inactive,1146736,22637994,552128719665,1146736,22637994,552128719665,2833.78
all,P2TR,never_spent,2956168,6410745,14849385391709,2956168,6410745,14849385391709,915.64
all,P2WPKH,active,1380418,11649528,163053469733715,1380507,11649528,163053469733715,1538.85
all,P2WPKH,all,22530930,48330587,814882857098298,3461582,21653811,187317727774516,2898.88
all,P2WPKH,inactive,2074197,9992273,24229697817418,2074249,9992273,24229697817418,1358.21
all,P2WPKH,never_spent,19076315,26688786,627599689547165,6826,12010,34560223383,1.82
all,P2WSH,active,46523,268291,63382180591626,48839,268291,63382180591626,63.81
all,P2WSH,all,1165094,2762753,134672294908001,90088,383977,66668007803578,92.19
all,P2WSH,inactive,40297,115686,3285827211952,41249,115686,3285827211952,28.38
all,P2WSH,never_spent,1078274,2378776,68004287104423,0,0,0,0.00
